clean_desc,variety
fruit fruit white,Pinot Grigio
sweet acidity,Zinfandel
red light dry,Pinot Noir
light light,Chardonnay
white sweet,Chardonnay
sweet dry rich,Merlot
rich wood,Portuguese Red
sweet cherry oak butter wood,Sangiovese
structure acidity,Red Blend
vanilla black cherry sweet wood,Sangiovese Grosso
black spicy wood,Portuguese Red
red fruit sweet crisp,Merlot
cherry fruit earth spicy,Cabernet Franc
citrus oak crisp,Chardonnay
red acidity,Red Blend
berry,Red Blend
berry fruit,Red Blend
red fruit,Red Blend
crisp pear,Chardonnay
cherry,Zinfandel
cherry,Red Blend
sweet oak cherry black sweet red fruit cherry,Red Blend
oak,Cabernet Sauvignon
earth fruit,Cabernet Sauvignon
red fruit cherry rich fruit,Merlot
honey acid,Bordeaux-style White Blend
fruit,Red Blend
apple honey,Riesling
cherry,Red Blend
acidity rich,Pinot Noir
pepper fruit acidity rich,Cabernet Sauvignon
crisp dry,Bordeaux-style White Blend
acidity dry,Riesling
cherry,Cabernet Sauvignon
sweet wood rich,Pinot Noir
pepper red fruit,Cabernet Franc
dry berry cherry red,Merlot
black red acidity,Pinot Noir
fruit cherry pepper,Red Blend
cherry tannin structure,Cabernet Sauvignon
dry,Cabernet Franc
light acidity berry,Merlot
sweet fruit light acidity,Bordeaux-style Red Blend
light berry acidity pepper light acidity,Bordeaux-style Red Blend
light berry dry,Bordeaux-style Red Blend
black oak,Merlot
crisp fruit,Sauvignon Blanc
fruit,Red Blend
fruit lemon spicy,Tempranillo
fruit,Portuguese Red
pear light vanilla acidity fruit,Portuguese White
dry black pepper,Zinfandel
lemon,Sauvignon Blanc
mineral,Bordeaux-style White Blend
fruit,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
fruit acidity,Bordeaux-style Red Blend
tannin dry fruit,Bordeaux-style Red Blend
rich black berry,Bordeaux-style Red Blend
rich wood,Bordeaux-style White Blend
dry rich,Bordeaux-style White Blend
fruit sweet wood structure,Bordeaux-style Red Blend
rich sweet berry fruit wood,Bordeaux-style Red Blend
sweet light structure,Bordeaux-style Red Blend
fruit dry,Bordeaux-style Red Blend
fruit sweet,Bordeaux-style Red Blend
fruit structure fruit structure,Bordeaux-style Red Blend
berry rich,Bordeaux-style Red Blend
dry wood,Bordeaux-style Red Blend
fruit wood,Bordeaux-style Red Blend
acidity sweet spicy,Bordeaux-style White Blend
fruit citrus light crisp,Bordeaux-style White Blend
rich berry acidity,Bordeaux-style Red Blend
rich sweet fruit acidity,Bordeaux-style Red Blend
acidity acidity,Bordeaux-style Red Blend
sweet fruit structure,Bordeaux-style Red Blend
sweet tannin,Bordeaux-style Red Blend
fruit wood wood,Bordeaux-style White Blend
acidity berry,Bordeaux-style Red Blend
oak vanilla fruit rich spicy oak,Chardonnay
dry cherry acidity,Pinot Noir
fruit rich,Sauvignon Blanc
fruit pepper,Sauvignon Blanc
apple rich apple pear,Sparkling Blend
white apple white acidity,Sparkling Blend
spicy fruit crisp acidity,Gewürztraminer
cherry oak,Cabernet Sauvignon
structure cherry,Bordeaux-style Red Blend
oak dry vanilla fruit berry dry,Shiraz
rich black cherry,Cabernet Sauvignon
black black sweet oak,Red Blend
dry rich cherry,Merlot
pear citrus fruit butter,Chardonnay
crisp,Chardonnay
vanilla dry,Chardonnay
berry,Sauvignon Blanc
light apple mineral,Prosecco
cherry oak,Grenache
red cherry rich,Red Blend
fruit fruit,Sparkling Blend
vanilla citrus vanilla,White Blend
sweet pear citrus mineral,Albariño
fruit,Sparkling Blend
fruit,Pinot Noir
black oak rich,Cabernet Sauvignon
fruit citrus creamy,Sparkling Blend
fruit black fruit,Tempranillo Blend
wood sweet,Bordeaux-style Red Blend
dry fruit mineral structure,Bordeaux-style Red Blend
pepper,Bordeaux-style Red Blend
berry structure fruit rich acidity,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
cherry fruit,Syrah
black fruit pepper,Red Blend
red fruit,Red Blend
black fruit sweet,Tempranillo
rich oak,Cabernet Sauvignon
dry pear,Pinot Gris
fruit acidity oak,Pinot Noir
acidity oak,Pinot Noir
berry fruit black pepper dry,Tempranillo
dry honey,Riesling
honey dry,Bordeaux-style White Blend
citrus fruit fruit,Sparkling Blend
wood fruit acidity,Bordeaux-style Red Blend
fruit rich fruit fruit,Bordeaux-style White Blend
black,Bordeaux-style Red Blend
rich berry fruit acidity,Bordeaux-style Red Blend
cherry fruit cherry light,Pinot Noir
sweet structure vanilla sweet,Bordeaux-style Red Blend
dry crisp fruit,Sauvignon Blanc
honey acidity apple white,Chenin Blanc
rich,Cabernet Sauvignon
acidity cherry oak oak,Cabernet Sauvignon
structure red,Zinfandel
spicy dry fruit acidity,Cabernet Franc
cherry white dry,Syrah
butter cherry sweet vanilla sweet,"Corvina, Rondinella, Molinara"
fruit acidity,Cabernet Sauvignon
black berry cherry structure dry,Zinfandel
fruit citrus fruit acidity,Malbec
oak fruit,Merlot
rich oak,Cabernet Sauvignon
red acidity dry,Red Blend
red spicy,Red Blend
red cherry,Malbec
creamy acidity fruit,Chenin Blanc
apple fruit rich vanilla honey,Chardonnay
creamy acidity,Sparkling Blend
berry fruit,Cabernet Sauvignon
rich structure,Cabernet Sauvignon
white,White Blend
rich cherry dry sweet,Rhône-style Red Blend
crisp pear light,Chardonnay
citrus fruit,Sauvignon Blanc
earth,Cabernet Sauvignon
sweet,Bordeaux-style Red Blend
cherry,Syrah
cherry oak dry,Cabernet Sauvignon
pear apple white acidity,Albariño
red cherry,Tempranillo
sweet apple,Albariño
citrus fruit mineral acidity,White Blend
berry creamy structure crisp,Cabernet Sauvignon
sweet acidity,Pinot Grigio
sweet fruit,Cabernet Sauvignon
sweet,Rhône-style Red Blend
sweet cherry,Barbera
cherry rich,Merlot
citrus acidity,Sauvignon Blanc
red berry,Merlot
dry cherry,Merlot
citrus fruit dry crisp acidity,Sauvignon Blanc
sweet pear crisp acidity,Chenin Blanc
light,Pinot Noir
acidity fruit,White Blend
pear fruit creamy spicy,Chardonnay
vanilla apple,White Blend
light acidity,Champagne Blend
earth oak vanilla,Red Blend
sweet apple fruit,Riesling
acidity,Champagne Blend
structure,Port
creamy fruit acidity,Chardonnay
dry rich,Cabernet Sauvignon
crisp creamy fruit,Chardonnay
dry wood,Cabernet Sauvignon
fruit oak,Syrah
dry cherry,Pinot Noir
fruit dry crisp,Pinot Noir
earth,Malbec
red oak oak fruit fruit,Cabernet Sauvignon
white pepper red cherry rich,Zinfandel
earth rich fruit,Red Blend
acidity vanilla dry creamy,Chardonnay
acidity oak,Chardonnay
rich red black fruit oak,Malbec
acidity dry,Sauvignon Blanc
spicy rich creamy,Chardonnay
pepper cherry,Syrah
structure dry,Syrah
white crisp acidity,Chardonnay
sweet fruit,Pinot Noir
dry berry wood black,Portuguese Red
oak rich creamy,White Blend
rich citrus creamy vanilla creamy,White Blend
dry crisp creamy oak,Chardonnay
dry citrus apple white,White Blend
white structure creamy,White Blend
structure acidity rich black pepper,Cabernet Sauvignon
rich fruit oak oak,Shiraz
cherry vanilla,Pinot Noir
spicy,Cabernet Sauvignon
fruit lemon fruit creamy,White Blend
vanilla rich fruit,Rhône-style Red Blend
acidity rich oak pear lemon rich,Chardonnay
dry rich crisp creamy sweet vanilla oak,Sauvignon Blanc
rich cherry pepper,Rhône-style Red Blend
creamy,Shiraz
black cherry vanilla earth,Cabernet Franc
rich red red pepper dry,Pinot Noir
rich creamy white,Portuguese White
fruit spicy wood structure dry structure,Shiraz
black,Rhône-style Red Blend
structure,Shiraz
black black rich fruit,Rhône-style Red Blend
red black white pepper creamy,Rhône-style Red Blend
spicy wood fruit,Portuguese Red
honey pear fruit spicy,Riesling
cherry dry cherry,Grenache
fruit,Malbec
earth,"Corvina, Rondinella, Molinara"
dry acidity,Chardonnay
oak dry rich,Chardonnay
structure pepper black,Syrah
oak wood black cherry creamy,Cabernet Sauvignon
rich cherry spicy,Bordeaux-style Red Blend
mineral white,Pinot Grigio
spicy,Riesling
dry citrus mineral,Viognier
oak cherry fruit,Grenache
honey crisp acidity light,Riesling
berry pepper,Malbec
black fruit,Malbec
cherry red,Malbec
black fruit,Malbec
acidity,Pinot Gris
crisp white,Sauvignon Blanc
honey sweet spicy citrus,Riesling
white,White Blend
fruit,Champagne Blend
sweet acidity,Champagne Blend
citrus acidity,Pinot Grigio
dry sweet,Red Blend
earth,Pinot Noir
pear citrus dry,Riesling
pear,Chardonnay
berry red,Red Blend
fruit earth,Merlot
red fruit cherry crisp,Sangiovese
structure,Red Blend
black fruit,Red Blend
black,Merlot
black fruit,Cabernet Franc
spicy black fruit,Red Blend
black fruit wood dry acidity,Portuguese Red
fruit oak crisp,Chardonnay
pear pear,White Blend
light pepper red vanilla,Pinot Noir
sweet berry fruit,Red Blend
earth,Sangiovese
rich black red spicy,Grenache
fruit fruit pear light citrus,Pinot Gris
rich red fruit fruit black,Portuguese Red
rich creamy,Tempranillo
red apple vanilla,Merlot
red fruit,Sangiovese
fruit sweet red earth acidity structure,Pinot Noir
fruit black,Portuguese Red
wood berry acidity,Portuguese Red
black fruit,Red Blend
spicy wood rich berry acidity dry,Bordeaux-style Red Blend
black oak,Cabernet Sauvignon
red,Tempranillo
dry crisp rich vanilla wood,Chardonnay
lemon crisp lemon,White Blend
light cherry fruit,Pinot Noir
cherry fruit pepper fruit structure,Pinot Noir
berry berry fruit,Nebbiolo
crisp pear acidity pear,Pinot Grigio
cherry fruit rich,Pinot Noir
red berry rich black red pepper spicy,Syrah
fruit spicy sweet rich,Red Blend
dry structure,Merlot
dry,Sangiovese
dry citrus oak vanilla,Chardonnay
black fruit creamy vanilla berry berry fruit butter,Tempranillo
dry sweet vanilla oak acidity,Pinot Noir
white oak acid vanilla,Pinot Grigio
cherry fruit,Pinot Noir
dry rich,Syrah
dry black red pepper crisp,Zinfandel
fruit citrus crisp acidity,White Blend
oak,Rhône-style Red Blend
black,Bordeaux-style Red Blend
white lemon citrus spicy,White Blend
rich structure,Bordeaux-style Red Blend
sweet,Bordeaux-style Red Blend
fruit structure,Bordeaux-style Red Blend
sweet structure,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
light wood citrus,Bordeaux-style White Blend
black sweet,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
rich,Bordeaux-style Red Blend
spicy wood structure,Bordeaux-style Red Blend
acidity,Bordeaux-style Red Blend
fruit acid light,Bordeaux-style Red Blend
wood sweet fruit,Bordeaux-style Red Blend
wood,Bordeaux-style Red Blend
wood,Bordeaux-style Red Blend
sweet acidity,Bordeaux-style Red Blend
fruit fruit,Bordeaux-style Red Blend
acidity crisp wood fruit,Bordeaux-style Red Blend
sweet fruit acidity,Bordeaux-style Red Blend
mineral acidity wood,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
light fruit crisp,Bordeaux-style White Blend
mineral fruit,Bordeaux-style Red Blend
light acidity,Bordeaux-style Red Blend
wood,Bordeaux-style Red Blend
light structure berry,Bordeaux-style Red Blend
mineral tannin,Bordeaux-style Red Blend
dry rich,Pinot Noir
dry lemon mineral crisp acidity,Sauvignon Blanc
cherry fruit fruit fruit creamy,Shiraz
earth,Pinot Noir
earth fruit,Malbec
red fruit berry tannin,Tempranillo Blend
sweet fruit fruit,Sparkling Blend
pear apple creamy,Prosecco
rich,Syrah
cherry oak tannin structure,Pinot Noir
light cherry cherry,Tempranillo Blend
cherry dry tannin structure,Merlot
black cherry vanilla,Red Blend
oak,Syrah
dry oak,Cabernet Sauvignon
dry black pepper dry structure pepper,Cabernet Sauvignon
rich cherry,Zinfandel
earth fruit light fruit,Cabernet Sauvignon
cherry,Merlot
red light dry rich spicy,Grenache
crisp,Prosecco
cherry dry sweet,Zinfandel
oak fruit pear apple,Chardonnay
dry cherry,Pinot Noir
red berry citrus red berry crisp apple,Sparkling Blend
cherry,Syrah
cherry spicy fruit dry,Syrah
acidity,Cabernet Sauvignon
sweet crisp,Riesling
fruit honey creamy,Chardonnay
dry,Cabernet Sauvignon
fruit oak fruit tannin,Merlot
cherry,Pinot Noir
black black red,Merlot
fruit vanilla,Red Blend
white pepper spicy,Sparkling Blend
fruit apple citrus mineral,Riesling
citrus lemon,White Blend
fruit,Merlot
black earth,Pinot Noir
fruit cherry berry red spicy cherry,Tempranillo Blend
dry crisp acidity sweet acidity,Pinot Noir
light acidity,Riesling
dry rich,Petite Sirah
fruit honey,Sparkling Blend
dry citrus,Riesling
cherry butter oak dry crisp,Pinot Noir
black structure fruit,Bordeaux-style Red Blend
sweet fruit pear acidity dry,Bordeaux-style White Blend
acidity,Bordeaux-style White Blend
creamy fruit,Chardonnay
fruit mineral,Pinot Noir
dry dry light,Riesling
berry crisp acidity,Zinfandel
creamy structure fruit,Sparkling Blend
pepper fruit,Pinot Noir
oak cherry,Malbec
fruit light fruit black pepper,Cabernet Sauvignon
red,Cabernet Franc
rich berry cherry dry acid tannin structure,Red Blend
red fruit acidity,Malbec
cherry fruit dry,Cabernet Sauvignon
oak sweet rich fruit,Cabernet Sauvignon
rich cherry,Cabernet Sauvignon
red,Zinfandel
dry citrus mineral rich,Viognier
dry vanilla crisp acidity,Sauvignon Blanc
acidity light,Sauvignon Blanc
sweet spicy,Zinfandel
tannin fruit,Merlot
fruit fruit,Sauvignon Blanc
spicy,Pinot Noir
crisp apple acidity light,Chenin Blanc
cherry light,Malbec
fruit rich fruit,Viognier
dry white pepper apple mineral,Riesling
dry crisp citrus fruit mineral sweet oak,Chardonnay
dry cherry,Merlot
citrus honey white,Viognier
crisp dry crisp acidity,Sauvignon Blanc
fruit,Cabernet Sauvignon
light citrus,Riesling
fruit fruit,Cabernet Sauvignon
black fruit acidity,Cabernet Sauvignon
dry red cherry oak,Merlot
sweet fruit,Malbec
creamy oak vanilla,Tempranillo
sweet cherry,Zinfandel
cherry berry berry vanilla,Shiraz
dry,Petite Sirah
fruit,Tempranillo
oak fruit lemon creamy,Tempranillo
fruit earth,Red Blend
fruit crisp,Cabernet Sauvignon
berry,Cabernet Sauvignon
vanilla acidity sweet,Riesling
sweet cherry,Pinot Noir
dry fruit apple,Chardonnay
fruit oak,Tempranillo Blend
dry red cherry,Merlot
berry fruit pepper structure,Merlot
citrus fruit,Chardonnay
dry,Petite Sirah
fruit cherry dry spicy,Pinot Noir
oak creamy cherry,Pinot Noir
fruit black fruit,Tempranillo
fruit oak creamy white oak dry spicy oak,Chardonnay
cherry fruit mineral creamy crisp,Red Blend
fruit,Portuguese Red
vanilla crisp,Bordeaux-style Red Blend
cherry structure,Cabernet Sauvignon
acid apple dry,Chardonnay
oak fruit vanilla,White Blend
fruit vanilla,Pinot Noir
acidity fruit oak,White Blend
creamy acidity,Chardonnay
dry black structure,Cabernet Sauvignon
light citrus,Riesling
acidity,Chenin Blanc
oak red,Portuguese Red
red fruit earth berry pepper oak vanilla,Cabernet Sauvignon
rich red black fruit,Rhône-style Red Blend
acidity sweet cherry,Pinot Noir
fruit,Tempranillo
cherry earth fruit red acidity,Tempranillo
fruit dry,Syrah
fruit fruit citrus,Pinot Gris
wood oak fruit acid apple fruit,Chardonnay
berry,Syrah
black cherry,Red Blend
fruit,Red Blend
crisp dry,Pinot Noir
red tannin acidity,Portuguese Red
oak black black,Cabernet Sauvignon
vanilla,Chardonnay
fruit crisp,White Blend
cherry acidity,Syrah
oak crisp acidity cherry fruit,Red Blend
vanilla creamy,Portuguese White
dry fruit oak,Chardonnay
oak oak,Malbec
red black cherry,Pinot Noir
red cherry acidity,Pinot Noir
apple sweet fruit,Riesling
sweet,Riesling
red dry black cherry red,Sangiovese
butter black cherry,Rhône-style Red Blend
sweet black,Portuguese Red
oak,Syrah
lemon vanilla creamy,Chardonnay
lemon citrus mineral acidity,Albariño
dry cherry,Tempranillo
honey sweet spicy,Gewürztraminer
wood light acidity,Portuguese Red
creamy oak wood,Red Blend
cherry,Red Blend
dry crisp acidity,Riesling
cherry fruit,Red Blend
fruit structure,Merlot
red fruit structure cherry,Red Blend
creamy oak,Tempranillo
black dry acidity,Portuguese Red
vanilla berry fruit,Tempranillo Blend
rich fruit red acidity fruit sweet,Portuguese Red
cherry red fruit,Merlot
rich cherry vanilla,Red Blend
mineral structure,Cabernet Sauvignon
mineral sweet crisp,Riesling
black fruit vanilla black cherry,Tempranillo
citrus fruit,Albariño
structure dry red black oak,Cabernet Sauvignon
honey apple dry,Riesling
rich citrus rich structure,Pinot Gris
cherry,Red Blend
pepper citrus,Albariño
fruit,Red Blend
dry,Cabernet Sauvignon
fruit fruit,Cabernet Sauvignon
fruit,Merlot
dry spicy red red cherry pepper,Red Blend
cherry,Cabernet Sauvignon
white spicy wood wood fruit acidity,Chardonnay
red,Cabernet Sauvignon
fruit cherry fruit sweet,Merlot
structure black cherry,Cabernet Sauvignon
black pepper berry,Malbec
honey,Viognier
red red berry,Red Blend
acidity,Grenache
oak cherry,Pinot Noir
cherry,Cabernet Sauvignon
structure dry fruit,Zinfandel
dry fruit dry,Cabernet Sauvignon
red dry,Grenache
cherry fruit dry,Pinot Noir
cherry,Cabernet Sauvignon
black,Zinfandel
white fruit citrus,White Blend
dry cherry fruit,Cabernet Sauvignon
fruit oak sweet fruit,Syrah
dry,Cabernet Sauvignon
vanilla oak fruit,Cabernet Sauvignon
fruit,Rhône-style Red Blend
sweet black fruit,Cabernet Sauvignon
dry black pepper acidity black,Syrah
vanilla oak crisp acidity,Chardonnay
berry acid black cherry vanilla oak,Tempranillo
crisp structure vanilla oak,Chardonnay
berry cherry pepper,Tempranillo
rich berry cherry,Cabernet Sauvignon
fruit spicy dry sweet oak vanilla,Cabernet Sauvignon
red,Pinot Noir
wood acidity black,Bordeaux-style Red Blend
citrus fruit crisp,Pinot Grigio
dry pepper,Petite Sirah
fruit,Cabernet Sauvignon
lemon,Pinot Grigio
fruit black,Red Blend
light,Pinot Noir
fruit acid tannin,Pinot Noir
honey,Viognier
crisp mineral,Chardonnay
light light light fruit wood,Bordeaux-style Red Blend
sweet vanilla fruit fruit,Bordeaux-style Red Blend
acidity crisp rich,Bordeaux-style Red Blend
rich sweet,Bordeaux-style Red Blend
rich sweet sweet,Bordeaux-style Red Blend
spicy wood,Bordeaux-style Red Blend
fruit dry,Bordeaux-style Red Blend
light acidity,Bordeaux-style Red Blend
light fruit acidity,Bordeaux-style Red Blend
fruit tannin,Bordeaux-style Red Blend
black acidity,Bordeaux-style Red Blend
sweet structure,Bordeaux-style Red Blend
structure fruit acidity,Bordeaux-style Red Blend
wood fruit wood,Bordeaux-style Red Blend
structure fruit sweet sweet,Bordeaux-style Red Blend
fruit structure,Bordeaux-style Red Blend
sweet light,Bordeaux-style Red Blend
tannin fruit,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
sweet,Bordeaux-style Red Blend
fruit structure,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
acid,Red Blend
black fruit oak wood sweet vanilla,Cabernet Sauvignon
sweet fruit black black cherry,Cabernet Sauvignon
light black pepper earth,Cabernet Sauvignon
fruit creamy oak,Chardonnay
lemon apple crisp oak fruit,Sauvignon Blanc
dry cherry,Merlot
dry,Merlot
fruit apple pear crisp,Chardonnay
earth,Shiraz
sweet apple pear,Prosecco
apple citrus crisp acidity,Sparkling Blend
crisp acidity,Merlot
apple apple mineral,Prosecco
dry,Pinot Noir
red,Tempranillo
honey light,Prosecco
earth cherry,Pinot Noir
crisp acidity lemon apple spicy white,Sauvignon Blanc
lemon red fruit,Tempranillo
sweet spicy oak,Cabernet Sauvignon
cherry dry,Zinfandel
cherry oak,Cabernet Sauvignon
citrus sweet,Sparkling Blend
oak vanilla cherry,Pinot Noir
crisp lemon fruit light,Prosecco
dry red sweet,Zinfandel
pear apple butter,Chardonnay
vanilla sweet,Sparkling Blend
berry berry light,Cabernet Sauvignon
berry spicy fruit,Pinot Noir
black pepper red vanilla black cherry,Cabernet Sauvignon
oak crisp dry rich citrus fruit mineral,Chardonnay
fruit tannin,Pinot Noir
structure,Chardonnay
dry sweet oak rich,Pinot Noir
mineral pear fruit acidity dry,Riesling
cherry fruit,Pinot Noir
tannin acid dry cherry,Pinot Noir
mineral acidity,Riesling
dry white pepper dry,Gewürztraminer
structure black sweet black cherry,Bordeaux-style Red Blend
creamy fruit,Pinot Gris
fruit dry black berry,Bordeaux-style Red Blend
fruit berry crisp,Sparkling Blend
citrus mineral,Sparkling Blend
black pepper dry sweet fruit butter,Zinfandel
black cherry fruit light earth,Pinot Noir
cherry pepper spicy,Red Blend
berry fruit rich black cherry,Tempranillo
rich honey acidity,Bordeaux-style White Blend
light berry acidity,Bordeaux-style Red Blend
crisp fruit,Bordeaux-style Red Blend
wood dry,Bordeaux-style Red Blend
cherry cherry,Pinot Noir
fruit,Sangiovese
dry cherry vanilla,Cabernet Franc
fruit oak acidity pepper,Chardonnay
sweet rich honey vanilla,Sauvignon Blanc
red dry,Red Blend
sweet cherry fruit,Cabernet Sauvignon
fruit berry,Cabernet Sauvignon
dry cherry,Cabernet Franc
spicy vanilla,Red Blend
pepper red berry,Syrah
black cherry acidity structure,Zinfandel
cherry vanilla,Pinot Noir
berry dry spicy,Zinfandel
fruit vanilla,Gewürztraminer
apple citrus,Riesling
berry fruit,Malbec
red dry cherry acidity,Merlot
sweet pepper earth,"Corvina, Rondinella, Molinara"
red sweet berry,Malbec
sweet rich cherry wood,Zinfandel
light apple citrus,Pinot Grigio
red fruit tannin,Cabernet Sauvignon
dry,Red Blend
spicy honey wood vanilla dry fruit,Chenin Blanc
dry crisp creamy oak,Chardonnay
butter pear apple oak,Chardonnay
cherry vanilla,Cabernet Sauvignon
acidity cherry,Merlot
apple crisp acidity sweet,Pinot Grigio
light,Cabernet Sauvignon
fruit red structure,Merlot
dry citrus apple mineral,Chardonnay
sweet,Malbec
white,Riesling
black oak dry,Cabernet Sauvignon
black fruit black cherry tannin,Malbec
black cherry fruit,Cabernet Sauvignon
dry cherry fruit oak,Petite Sirah
pepper,Cabernet Sauvignon
dry crisp cherry,Pinot Noir
apple fruit light,Pinot Noir
black cherry crisp,Malbec
spicy,Riesling
mineral pepper citrus apple,White Blend
red cherry,Rhône-style Red Blend
red dry pepper,Zinfandel
light light,Pinot Noir
citrus pear acid,Pinot Gris
mineral oak dry,Chardonnay
acidity,Cabernet Sauvignon
rich black dry rich,Cabernet Sauvignon
sweet red cherry black dry,Cabernet Sauvignon
berry,Pinot Noir
light crisp,Champagne Blend
wood apple acidity mineral structure,Sauvignon Blanc
earth berry fruit,Tempranillo
rich wood mineral fruit,Malbec
sweet,Sauvignon Blanc
creamy acidity light,Chardonnay
crisp light acidity,Champagne Blend
dry fruit,Cabernet Sauvignon
spicy red earth cherry tannin oak,Malbec
red red fruit butter,Tempranillo Blend
apple dry pepper,Pinot Gris
apple acidity oak lemon,Chardonnay
berry,Malbec
black cherry light,Syrah
acidity black fruit dry spicy,Syrah
red berry fruit,Cabernet Sauvignon
berry apple red fruit,Rosé
berry citrus lemon black,Malbec
cherry rich dry,Pinot Noir
black,Pinot Noir
light wood creamy,Tempranillo Blend
berry berry acidity black fruit,Cabernet Sauvignon
citrus fruit,Riesling
earth fruit black,Syrah
berry earth,Red Blend
sweet red acidity fruit,Portuguese Red
structure black,Cabernet Sauvignon
black fruit earth,Cabernet Sauvignon
citrus fruit,Riesling
sweet structure spicy,Zinfandel
vanilla,Pinot Noir
crisp acidity pepper,Sauvignon Blanc
fruit,Red Blend
apple creamy dry,Riesling
black cherry berry,Red Blend
earth oak rich,Cabernet Sauvignon
red black pepper red oak,Red Blend
black fruit rich berry,Tempranillo Blend
fruit crisp,Tempranillo Blend
spicy fruit,Syrah
red fruit,Red Blend
black cherry,Merlot
fruit earth red,Red Blend
cherry fruit earth,Grenache
acidity vanilla dry,Chardonnay
vanilla creamy,Shiraz
white fruit crisp,White Blend
honey butter,Red Blend
black,Red Blend
light cherry fruit fruit oak,Pinot Noir
fruit sweet,Sangiovese
red berry cherry fruit,Red Blend
spicy citrus citrus white,Riesling
fruit,Sangiovese
fruit mineral crisp apple,Albariño
dry crisp apple,Portuguese White
acidity,Bordeaux-style Red Blend
red berry fruit,Red Blend
red crisp acidity,Pinot Noir
cherry,Red Blend
cherry fruit,Red Blend
fruit rich tannin acid,Cabernet Sauvignon
fruit vanilla oak,Shiraz
black cherry cherry,Sangiovese
black,Red Blend
fruit crisp dry,Riesling
apple,Riesling
crisp white white fruit acidity,Bordeaux-style White Blend
vanilla fruit,Cabernet Sauvignon
white,Merlot
fruit spicy fruit sweet black pepper acid tannin structure,Syrah
dry black fruit fruit tannin fruit,Portuguese Red
black black wood fruit acidity,Bordeaux-style Red Blend
acidity fruit oak vanilla,Pinot Noir
red light fruit acidity,Red Blend
dry,Zinfandel
crisp acidity,Nebbiolo
fruit oak,White Blend
acidity black cherry dry,Pinot Noir
light citrus apple fruit,White Blend
berry oak,Red Blend
crisp light acidity,Portuguese White
sweet black berry,Tempranillo
vanilla,Cabernet Sauvignon
dry black oak,Cabernet Sauvignon
sweet,Red Blend
sweet vanilla oak acidity,Bordeaux-style White Blend
pepper,Syrah
spicy red berry wood light fruit acidity,Bordeaux-style Red Blend
fruit,Bordeaux-style Red Blend
dry cherry berry,Bordeaux-style Red Blend
berry sweet cherry acidity structure,Red Blend
cherry,Syrah
fruit,Red Blend
fruit fruit,Syrah
fruit mineral,Red Blend
rich white fruit acidity oak,Chardonnay
dry structure pear vanilla,Chardonnay
rich pear oak acidity,Chardonnay
pepper cherry fruit,Merlot
rich sweet oak rich creamy crisp,Chardonnay
berry earth fruit earth,Red Blend
rich pear fruit vanilla acidity,Chardonnay
earth berry fruit vanilla fruit acidity,Syrah
rich fruit,Sangiovese Grosso
fruit structure,Sangiovese Grosso
honey acidity butter,Chardonnay
black cherry fruit,Red Blend
pear vanilla acidity,Chardonnay
rich crisp acidity rich pepper oak vanilla,Pinot Noir
oak wood black black red,Cabernet Sauvignon
citrus,Sauvignon Blanc
sweet fruit,Cabernet Sauvignon
cherry wood sweet vanilla structure,Sangiovese Grosso
rich,Portuguese Red
black,Cabernet Sauvignon
fruit citrus honey,White Blend
pear oak acidity,Chardonnay
fruit,Sangiovese Grosso
fruit,Sangiovese Grosso
dry,Pinot Noir
dry acidity,Portuguese Red
cherry,Sangiovese Grosso
cherry crisp,Pinot Noir
fruit oak vanilla cherry acidity oak butter,Tempranillo
black fruit,Tempranillo Blend
crisp honey white lemon white creamy,Prosecco
cherry dry vanilla,Cabernet Sauvignon
fruit oak creamy spicy,Chardonnay
black,Zinfandel
sweet,Zinfandel
cherry,Cabernet Franc
white citrus mineral vanilla crisp acidity spicy,Bordeaux-style White Blend
dry crisp,Chardonnay
apple rich creamy,Chardonnay
acidity apple rich,Chenin Blanc
red cherry vanilla,Malbec
vanilla spicy red,Merlot
spicy black citrus,Pinot Noir
black cherry fruit oak acidity,Syrah
oak fruit cherry,Tempranillo
vanilla acidity,Viognier
crisp,Champagne Blend
cherry red fruit acidity crisp,Tempranillo
sweet black fruit,Red Blend
red black cherry,Merlot
red,Red Blend
oak vanilla black rich,Cabernet Sauvignon
sweet honey acidity,Bordeaux-style White Blend
wood pear acidity,Bordeaux-style White Blend
apple pear vanilla oak,Chardonnay
spicy light red,Pinot Noir
oak rich honey white pepper,Pinot Gris
spicy white pepper,Pinot Gris
crisp acidity rich,Pinot Noir
fruit acidity,Sparkling Blend
dry pear lemon honey,Riesling
apple pear,Riesling
acidity white apple,Riesling
dry,Riesling
spicy black red black fruit pepper spicy,Red Blend
fruit rich,Pinot Noir
creamy,Chardonnay
vanilla oak black fruit,Merlot
fruit,Cabernet Franc
berry fruit fruit acidity,Bordeaux-style Red Blend
red light light,Pinot Noir
rich dry structure cherry,Pinot Noir
rich black structure acidity berry,Bordeaux-style Red Blend
